"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1995-05-14 5 41 14 1995 265649.585055384 1790039.25 0 304861.072157143 1899469.98945714
1995-05-21 5 42 21 1995 148767.821142857 1790039.25 0 148767.821142857 1839448.04469807
1995-05-28 5 43 28 1995 180735.430157144 1833056.93083626 34777.7686426491 180735.430157144 2026247.58275714
1995-06-04 6 44 4 1995 291500.408614285 1807343.04701464 1050084.41393205 291500.408614285 2561999.47389743
1995-06-11 6 45 11 1995 362231.469642857 2110104.15447198 1981465.30010348 362231.469642857 2329137.80414285
1995-06-18 6 46 18 1995 425865.200014286 842537.270028612 1955611.25679497 425865.200014286 1850685.65768175
1995-06-25 6 47 25 1995 256351.781314286 313482.127311787 2012495.0517267 256351.781314286 1801522.22688779
1995-07-02 7 48 2 1995 262698.889885714 566257.659694978 2082329.65514957 262698.889885714 1486214.05541709
1995-07-09 7 49 9 1995 173958.37817143 765849.618381433 2135685.23657814 173958.378171429 1550219.49864286
1995-07-16 7 50 16 1995 174495.89892857 504774.074826518 2152400 174495.89892857 878357.422160954
1995-07-23 7 51 23 1995 254219.628469181 375000.796079986 1408942.77378194 157971.598457143 627069.004661125
1995-07-30 7 52 30 1995 304719.602573676 954006.876499161 156168.162128571 163967.632585714 428859.519728314
1995-08-06 8 1 6 1995 263327.650328571 742180.9108398 990410.318557143 263327.650328572 1297531.88217143
1995-08-13 8 2 13 1995 215145.162385714 617035.105357143 889445.19147143 215145.162385714 1092286.22568572
1995-08-20 8 3 20 1995 178232.7591 671763.544882144 646791.263842863 178232.7591 914071.317828577
1995-08-27 8 4 27 1995 135246.9663 586891.155341846 420120.382457142 135246.9663 723872.709071427
1995-09-03 9 5 3 1995 124842.514029999 604471.784732152 370874.370338277 137666.801442858 676566.532009705
1995-09-10 9 6 10 1995 123482.646018571 544631.096718158 343723.866852587 143067.794142857 414769.590088703
1995-09-17 9 7 17 1995 115864.528955715 295268.50615053 178357.93806352 170584.493271429 227542.493036785
1995-09-24 9 8 24 1995 110661.288357143 405666.396121588 171816.221419134 172320.030771429 198530.806114286
1995-10-01 10 9 1 1995 111534.610827142 636447.983957154 168499.948395865 187682.016985714 253772.468871428
1995-10-08 10 10 8 1995 186143.848282861 967208.239208973 168344.257036568 198208.299857143 299560.355331429
1995-10-15 10 11 15 1995 129536.552057143 1630762.12760739 178212.007248385 129536.552057143 620767.674293451
1995-10-22 10 12 22 1995 160692.921257143 1264270.01705774 165937.633624621 160692.921257143 441121.958657144
1995-10-29 10 13 29 1995 166446.971871429 1222130.0996223 119101.725136532 166446.971871429 391093.712814285
1995-11-05 11 14 5 1995 153613.911728571 540497.25 80706.8358856468 153613.911728571 456951.190128572
