"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
2033-12-18 12 20 18 2033 2888217.38018171 NA 533869.249651049 1752638.78234895 432696.591497984 998520 768447.479541374
2033-12-25 12 21 25 2033 3072227.67550632 NA 496284.571654306 1790223.46034569 350672.621425063 998520 640682.821289456
2034-01-01 1 22 1 2034 3195102.42087581 NA 235647.701257518 2050860.33074248 197064.774452149 998520 474126.808585397
2034-01-08 1 23 8 2034 4859946.77282909 NA 135793.171256524 2140790.78074348 9982235.78481297 1010180 10520098.2379744
2034-01-15 1 24 15 2034 4717865.57959334 NA 0 2488136.82355064 8028679.82673588 798627.128449356 8642949.84267725
2034-01-22 1 25 22 2034 5175992.49155649 NA 122885.729783448 2153698.22221655 7304073.91899444 1010180 8314927.79300842
2034-01-29 1 26 29 2034 5521582.1624212 NA 516949.60689298 1759634.34510702 6450295.5424578 1010180 8025064.25302629
2034-02-05 2 27 5 2034 5527661.85745362 NA 94768.7580515877 2181815.19394841 5721559.41887626 1022900 7043132.42408092
2034-02-12 2 28 12 2034 5485818.78358308 NA 0 2804759.31200164 7359867.59221156 405899.359998363 8727659.76118416
2034-02-19 2 29 19 2034 5066120.46657338 NA 0 3606769.18309498 6525084.34092561 0 7801604.29285461
2034-02-26 2 30 26 2034 4840001.33919813 NA 0 3621735.96651855 5691488.66227761 0 6900121.3669507
2034-03-05 3 31 5 2034 4899080.49698749 NA 0 3398397.72841786 4857582.94805245 0 6077475.16834781
2034-03-12 3 32 12 2034 4197979.89900337 NA 0 3686464.5824261 3911000.64301219 0 4956219.42771524
2034-03-19 3 33 19 2034 3654172.08756014 NA 0 3688276.92783447 2786138.83804381 0 3794801.48913961
2034-03-26 3 34 26 2034 2816885.53830274 NA 0 4444963.35780417 1903741.42339236 0 2758391.03643023
2034-04-02 4 35 2 2034 1931085.61728089 NA 0 4277535.87672053 1056678.57704587 0 1772102.75539473
2034-04-09 4 36 9 2034 1805105.14493342 NA 0 2777879.99122604 590658.625425485 129365.848773958 1254175.75629209
2034-04-16 4 37 16 2034 1663641.05761067 NA 0 3398985.63502556 304636.631805124 0 834183.11952249
2034-04-23 4 38 23 2034 5049307.43348054 NA 0 3045471.17798896 19992.4967482429 42392.9180110418 382235.622389441
2034-04-30 4 39 30 2034 3473383.42976102 NA 0 2300266.36937321 0 787597.726626793 1978.42875252428
2034-05-07 5 40 7 2034 4260958.86479632 NA 0 2467682.21551217 0 883053.112487827 303709.212396451
2034-05-14 5 41 14 2034 2243802.17145366 NA 0 3286392.89012915 36011.5766882235 64342.4378708475 537163.93061769
2034-05-21 5 42 21 2034 4379750.44152794 NA 0 2401407.45238703 0 949327.875612968 884639.727402582
2034-05-28 5 43 28 2034 9661198.27440017 NA 0 3065648.001894 2493485.07050077 285087.326106005 3633826.68260878
