CellID GWFraction ReturnFlowFraction NumCrops Long Lat Area StnName StnID
262786 0.35 0 7 -114.90625 42.71875 35.4485672528488 SNKHI 64
262787 0.35 0 6 -114.84375 42.71875 35.4485672528488 SNKHI 64
262788 0.35 0 7 -114.78125 42.71875 35.4485672528488 SNKHI 64
262789 0.35 0 5 -114.71875 42.71875 35.4485672528488 SNKHI 64
262790 0.35 0 5 -114.65625 42.71875 35.4485672528488 SNKHI 64
262791 0.35 0 7 -114.59375 42.71875 35.4485672528488 SNKHI 64
262792 0.35 0 5 -114.53125 42.71875 35.4485672528488 SNKHI 64
262793 0.35 0 10 -114.46875 42.71875 35.4485672528488 SNKHI 64
262794 0.35 0 11 -114.40625 42.71875 35.4485672528488 SNKHI 64
262795 0.35 0 6 -114.34375 42.71875 35.4485672528488 SNKHI 64
262796 0.35 0 5 -114.28125 42.71875 35.4485672528488 SNKHI 64
262797 0.35 0 6 -114.21875 42.71875 35.4485672528488 SNKHI 64
262798 0.35 0 5 -114.15625 42.71875 35.4485672528488 SNKHI 64
262800 0.35 0 3 -114.03125 42.71875 35.4485672528488 SNKHI 64
262801 0.35 0 9 -113.96875 42.71875 35.4485672528488 SNKHI 64
262802 0.35 0 10 -113.90625 42.71875 35.4485672528488 MILNE 63
262803 0.35 0 12 -113.84375 42.71875 35.4485672528488 MILNE 63
262804 0.35 0 9 -113.78125 42.71875 35.4485672528488 MILNE 63
262805 0.35 0 8 -113.71875 42.71875 35.4485672528488 MILNE 63
262806 0.35 0 6 -113.65625 42.71875 35.4485672528488 MILNE 63
262807 0.35 0 6 -113.59375 42.71875 35.4485672528488 MILNE 63
262808 0.35 0 7 -113.53125 42.71875 35.4485672528488 MILNE 63
262809 0.35 0 7 -113.46875 42.71875 35.4485672528488 MINAD 51
262810 0.35 0 6 -113.40625 42.71875 35.4485672528488 MINAD 51
262811 0.35 0 7 -113.34375 42.71875 35.4485672528488 MINAD 51
262815 0.35 0 3 -113.09375 42.71875 35.4485672528488 MINAD 51
262816 0.35 0 6 -113.03125 42.71875 35.4485672528488 MINAD 51
262817 0.35 0 7 -112.96875 42.71875 35.4485672528488 MINAD 51
262818 0.35 0 9 -112.90625 42.71875 35.4485672528488 MINAD 51
262819 0.35 0 7 -112.84375 42.71875 35.4485672528488 AMERI 50
262823 0.35 0 2 -112.59375 42.71875 35.4485672528488 AMERI 50
262829 0.35 0 4 -112.21875 42.71875 35.4485672528488 AMERI 50
262832 0.35 0 3 -112.03125 42.71875 35.4485672528488 AMERI 50
262834 0.35 0 9 -111.90625 42.71875 35.4485672528488 AMERI 50
262835 0.35 0 6 -111.84375 42.71875 35.4485672528488 AMERI 50
262836 0.35 0 10 -111.78125 42.71875 35.4485672528488 AMERI 50
262843 0.35 0 1 -111.34375 42.71875 35.4485672528488 AMERI 50
262847 0.35 0 1 -111.09375 42.71875 35.4485672528488 PALIS 33
262849 0.35 0 5 -110.96875 42.71875 35.4485672528488 PALIS 33
262850 0.35 0 3 -110.90625 42.71875 35.4485672528488 PALIS 33
263657 0.35 0 1 -118.46875 42.78125 35.4128405713472 OWYHE 65
263697 0.35 0 4 -115.96875 42.78125 35.4128405713472 BROWN 6
263698 0.35 0 4 -115.90625 42.78125 35.4128405713472 BROWN 6
263699 0.35 0 4 -115.84375 42.78125 35.4128405713472 BROWN 6
263700 0.35 0 2 -115.78125 42.78125 35.4128405713472 BROWN 6
263701 0.35 0 4 -115.71875 42.78125 35.4128405713472 BROWN 6
263708 0.35 0 9 -115.28125 42.78125 35.4128405713472 BROWN 6
263709 0.35 0 2 -115.21875 42.78125 35.4128405713472 BROWN 6
263713 0.35 0 3 -114.96875 42.78125 35.4128405713472 SNKHI 64
263714 0.35 0 4 -114.90625 42.78125 35.4128405713472 SNKHI 64
263715 0.35 0 5 -114.84375 42.78125 35.4128405713472 SNKHI 64
263716 0.35 0 8 -114.78125 42.78125 35.4128405713472 SNKHI 64
263717 0.35 0 6 -114.71875 42.78125 35.4128405713472 SNKHI 64
263718 0.35 0 7 -114.65625 42.78125 35.4128405713472 SNKHI 64
263719 0.35 0 6 -114.59375 42.78125 35.4128405713472 SNKHI 64
263720 0.35 0 7 -114.53125 42.78125 35.4128405713472 SNKHI 64
263721 0.35 0 9 -114.46875 42.78125 35.4128405713472 SNKHI 64
263722 0.35 0 9 -114.40625 42.78125 35.4128405713472 SNKHI 64
263723 0.35 0 5 -114.34375 42.78125 35.4128405713472 SNKHI 64
263728 0.35 0 5 -114.03125 42.78125 35.4128405713472 SNKHI 64
263729 0.35 0 5 -113.96875 42.78125 35.4128405713472 SNKHI 64
263731 0.35 0 11 -113.84375 42.78125 35.4128405713472 MILNE 63
263732 0.35 0 10 -113.78125 42.78125 35.4128405713472 MILNE 63
263733 0.35 0 8 -113.71875 42.78125 35.4128405713472 MILNE 63
263734 0.35 0 7 -113.65625 42.78125 35.4128405713472 MILNE 63
263735 0.35 0 6 -113.59375 42.78125 35.4128405713472 MILNE 63
263736 0.35 0 8 -113.53125 42.78125 35.4128405713472 MILNE 63
263737 0.35 0 10 -113.46875 42.78125 35.4128405713472 MINAD 51
263738 0.35 0 6 -113.40625 42.78125 35.4128405713472 MINAD 51
263743 0.35 0 5 -113.09375 42.78125 35.4128405713472 MINAD 51
263744 0.35 0 6 -113.03125 42.78125 35.4128405713472 MINAD 51
263745 0.35 0 7 -112.96875 42.78125 35.4128405713472 MINAD 51
263746 0.35 0 7 -112.90625 42.78125 35.4128405713472 MINAD 51
263747 0.35 0 7 -112.84375 42.78125 35.4128405713472 AMERI 50
263748 0.35 0 8 -112.78125 42.78125 35.4128405713472 AMERI 50
263750 0.35 0 5 -112.65625 42.78125 35.4128405713472 AMERI 50
263751 0.35 0 4 -112.59375 42.78125 35.4128405713472 AMERI 50
263754 0.35 0 2 -112.40625 42.78125 35.4128405713472 AMERI 50
263755 0.35 0 3 -112.34375 42.78125 35.4128405713472 AMERI 50
263756 0.35 0 3 -112.28125 42.78125 35.4128405713472 AMERI 50
263757 0.35 0 5 -112.21875 42.78125 35.4128405713472 AMERI 50
